6,27,φ5,φ5,α3,0
6,28,φ5,φ5,α1,1
6,29,φ5,φ4,α1,0
6,30,φ4,φ5,α1,0
6,31,φ5,φ4,α1,0
6,32,φ4,φ3,α3,1
6,33,φ3,φ2,α2,1
6,34,φ2,φ3,α2,1
6,35,φ3,φ1,α1,0
6,36,φ1,φ2,α2,0
6,37,φ2,φ2,α1,1
6,38,φ2,φ3,α1,0
6,39,φ3,φ2,α1,1
6,40,φ2,φ2,α1,0
6,41,φ2,φ2,α1,0
6,42,φ2,φ2,α1,0
7,1,φ3,φ2,α2,0
7,2,φ2,φ4,α1,0
7,3,φ4,φ5,α1,0
7,4,φ5,φ4,α1,0
7,5,φ4,φ4,α1,0
7,6,φ4,φ2,α2,0
7,7,φ2,φ5,α2,1
7,8,φ5,φ5,α2,0
7,9,φ5,φ4,α2,0
7,10,φ4,φ5,α3,0
7,11,φ5,φ5,α2,1
7,12,φ5,φ5,α1,0
7,13,φ5,φ2,α1,1
7,14,φ2,φ3,α2,0
7,15,φ3,φ5,α1,0
7,16,φ5,φ4,α1,0
7,17,φ4,φ5,α1,1
7,18,φ5,φ2,α1,1
7,19,φ2,φ1,α1,0
7,20,φ1,φ1,α1,0
7,21,φ1,φ3,α2,0
7,22,φ3,φ5,α1,0
7,23,φ5,φ4,α2,0
7,24,φ4,φ5,α1,0
7,25,φ5,φ2,α2,0
7,26,φ2,φ1,α1,0
7,27,φ1,φ1,α1,0
7,28,φ1,φ1,α3,0
7,29,φ1,φ2,α1,0
7,30,φ2,φ4,α2,1
7,31,φ4,φ2,α1,1
7,32,φ2,φ2,α1,0
7,33,φ2,φ3,α1,0
7,34,φ3,φ1,α2,0
7,35,φ1,φ1,α2,1
7,36,φ1,φ4,α1,0
7,37,φ4,φ5,α1,1
7,38,φ5,φ5,α1,0
7,39,φ5,φ4,α2,1
7,40,φ4,φ4,α2,1
7,41,φ4,φ5,α1,1
7,42,φ5,φ1,α1,0
7,43,φ1,φ2,α1,0
7,44,φ2,φ1,α1,1
7,45,φ1,φ2,α1,0
7,46,φ2,φ2,α1,0
7,47,φ2,φ5,α1,0
7,48,φ5,φ3,α1,0
7,49,φ3,φ3,α2,0
7,50,φ3,φ2,α1,0
7,51,φ2,φ1,α3,0
7,52,φ1,φ1,α1,0
7,53,φ1,φ2,α1,1
7,54,φ2,φ2,α1,1
8,1,φ5,φ2,α1,0
8,2,φ2,φ3,α1,0
8,3,φ3,φ2,α1,1
8,4,φ2,φ3,α1,0
8,5,φ3,φ3,α2,0
8,6,φ3,φ3,α1,0
8,7,φ3,φ3,α1,1
8,8,φ3,φ2,α1,0
8,9,φ2,φ3,α1,0
8,10,φ3,φ1,α1,0
8,11,φ1,φ1,α1,0
8,12,φ1,φ1,α3,0
8,13,φ1,φ1,α2,1
8,14,φ1,φ2,α1,0
8,15,φ2,φ3,α1,1
8,16,φ3,φ4,α1,1
8,17,φ4,φ5,α2,0
8,18,φ5,φ5,α1,0
8,19,φ5,φ4,α1,0
8,20,φ4,φ5,α1,0
8,21,φ5,φ2,α1,0
8,22,φ2,φ3,α1,1
8,23,φ3,φ3,α1,0
8,24,φ3,φ3,α1,0
8,25,φ3,φ3,α2,0
8,26,φ3,φ5,α1,1
8,27,φ5,φ1,α1,1
8,28,φ1,φ4,α1,0
8,29,φ4,φ5,α1,0
8,30,φ5,φ4,α1,0
8,31,φ4,φ5,α3,0
8,32,φ5,φ5,α2,0
8,33,φ5,φ5,α1,0
8,34,φ5,φ2,α1,0
8,35,φ2,φ3,α1,0
9,1,φ2,φ4,α2,0
9,2,φ4,φ4,α1,0
9,3,φ4,φ5,α2,0
9,4,φ5,φ4,α2,0
9,5,φ4,φ5,α1,1
9,6,φ5,φ5,α3,1
9,7,φ5,φ2,α1,0
9,8,φ2,φ1,α1,0
9,9,φ1,φ2,α1,1
9,10,φ2,φ3,α1,0
9,11,φ3,φ2,α1,1
9,12,φ2,φ3,α1,0
9,13,φ3,φ2,α1,0
9,14,φ2,φ5,α1,0
9,15,φ5,φ5,α2,0
9,16,φ5,φ5,α2,1
9,17,φ5,φ5,α1,0
9,18,φ5,φ5,α1,0
9,19,φ5,φ4,α1,0
9,20,φ4,φ5,α1,0
9,21,φ5,φ4,α1,0
9,22,φ4,φ3,α3,1
9,23,φ3,φ2,α1,0
9,24,φ2,φ2,α1,0
9,25,φ2,φ5,α1,1
9,26,φ5,φ5,α1,0
9,27,φ5,φ2,α2,0
9,28,φ2,φ2,α1,0
9,29,φ2,φ1,α1,0
9,30,φ1,φ1,α1,0
9,31,φ1,φ2,α1,0
9,32,φ2,φ3,α1,0
9,33,φ3,φ2,α1,0
9,34,φ2,φ1,α1,0
9,35,φ1,φ1,α1,0
9,36,φ1,φ2,α1,0
9,37,φ2,φ1,α3,1
9,38,φ1,φ1,α1,0
9,39,φ1,φ2,α2,0
9,40,φ2,φ2,α1,0
10,1,φ2,φ3,α1,0
10,2,φ3,φ2,α1,0
10,3,φ2,φ3,α1,0
10,4,φ3,φ2,α1,0
10,5,φ2,φ1,α1,0
10,6,φ1,φ1,α1,0
10,7,φ1,φ2,α3,1
10,8,φ2,φ1,α1,0
10,9,φ1,φ2,α1,0
10,10,φ2,φ1,α1,0
10,11,φ1,φ4,α1,0
10,12,φ4,φ3,α1,0
10,13,φ3,φ4,α1,1
10,14,φ4,φ1,α2,1
10,15,φ1,φ1,α1,0
10,16,φ1,φ1,α1,0
10,17,φ1,φ2,α1,0
10,18,φ2,φ2,α1,0
10,19,φ2,φ1,α1,1
10,20,φ1,φ4,α1,0
10,21,φ4,φ5,α1,0
10,22,φ5,φ2,α1,0
10,23,φ2,φ1,α1,0
10,24,φ1,φ2,α1,0
10,25,φ2,φ1,α1,1
10,26,φ1,φ1,α1,1
10,27,φ1,φ1,α1,0
10,28,φ1,φ2,α2,0
10,29,φ2,φ2,α1,0
10,30,φ2,φ4,α1,1
10,31,φ4,φ3,α1,0
10,32,φ3,φ5,α1,0
10,33,φ5,φ2,α2,1
10,34,φ2,φ1,α1,0
10,35,φ1,φ2,α1,1
10,36,φ2,φ2,α2,0
10,37,φ2,φ2,α1,0
10,38,φ2,φ1,α1,0
10,39,φ1,φ2,α1,0
10,40,φ2,φ2,α1,0
10,41,φ2,φ1,α2,0
10,42,φ1,φ1,α1,0
10,43,φ1,φ4,α2,0
10,44,φ4,φ5,α1,1
10,45,φ5,φ4,α1,0
11,1,φ2,φ2,α2,1
11,2,φ2,φ2,α3,0
11,3,φ2,φ1,α1,1
11,4,φ1,φ1,α1,0
11,5,φ1,φ1,α3,1
11,6,φ1,φ2,α1,1
11,7,φ2,φ2,α2,0
11,8,φ2,φ5,α1,0
11,9,φ5,φ4,α1,1
11,10,φ4,φ5,α1,0
11,11,φ5,φ5,α1,0
11,12,φ5,φ5,α2,0
11,13,φ5,φ1,α1,0
11,14,φ1,φ2,α1,0
11,15,φ2,φ2,α1,0
11,16,φ2,φ2,α2,0
11,17,φ2,φ1,α1,0
11,18,φ1,φ2,α2,1
11,19,φ2,φ2,α1,0
11,20,φ2,φ2,α3,0
11,21,φ2,φ3,α1,1
11,22,φ3,φ2,α1,0
11,23,φ2,φ3,α3,0
11,24,φ3,φ1,α1,0
11,25,φ1,φ2,α1,1
11,26,φ2,φ4,α1,1
11,27,φ4,φ5,α1,0
11,28,φ5,φ2,α2,0
11,29,φ2,φ3,α3,0
11,30,φ3,φ4,α1,0
11,31,φ4,φ3,α1,0
11,32,φ3,φ2,α1,1
11,33,φ2,φ3,α1,1
11,34,φ3,φ4,α1,0
11,35,φ4,φ4,α2,0
11,36,φ4,φ3,α3,1
11,37,φ3,φ3,α2,0
11,38,φ3,φ2,α2,1
11,39,φ2,φ2,α1,1
11,40,φ2,φ3,α1,0
11,41,φ3,φ3,α2,1
11,42,φ3,φ4,α1,0
11,43,φ4,φ4,α2,0
11,44,φ4,φ2,α1,1
11,45,φ2,φ3,α1,0
11,46,φ3,φ2,α1,0
11,47,φ2,φ2,α1,0
11,48,φ2,φ3,α1,0
11,49,φ3,φ4,α1,0
11,50,φ4,φ3,α1,0
11,51,φ3,φ4,α1,0
11,52,φ4,φ3,α2,0
11,53,φ3,φ2,α1,1
11,54,φ2,φ2,α2,1
11,55,φ2,φ3,α1,0
11,56,φ3,φ4,α1,0
11,57,φ4,φ4,α1,1
12,1,φ4,φ1,α1,1
12,2,φ1,φ3,α2,0
12,3,φ3,φ2,α3,0
12,4,φ2,φ3,α1,0
12,5,φ3,φ3,α1,0
12,6,φ3,φ3,α1,0
12,7,φ3,φ5,α1,0
12,8,φ5,φ2,α3,0
12,9,φ2,φ1,α1,0
12,10,φ1,φ1,α1,0
12,11,φ1,φ2,α1,0
12,12,φ2,φ3,α1,0
12,13,φ3,φ4,α2,0
12,14,φ4,φ3,α2,0
12,15,φ3,φ3,α1,0
12,16,φ3,φ3,α1,0
12,17,φ3,φ4,α1,0
12,18,φ4,φ5,α1,1
12,19,φ5,φ4,α1,0
12,20,φ4,φ4,α3,1
12,21,φ4,φ5,α1,1
12,22,φ5,φ5,α2,0
12,23,φ5,φ5,α1,0
12,24,φ5,φ2,α1,0
12,25,φ2,φ4,α1,0
12,26,φ4,φ4,α1,0
12,27,φ4,φ4,α1,1
12,28,φ4,φ3,α1,0
12,29,φ3,φ2,α1,1
12,30,φ2,φ2,α1,0
12,31,φ2,φ2,α2,0
12,32,φ2,φ3,α2,0
12,33,φ3,φ2,α2,0
12,34,φ2,φ1,α1,0
12,35,φ1,φ2,α1,0
